SERVICIO DE IMPUESTOS NACIONALES;C. JORDAN Nº 259 ENTRE ESTEBAN ARCE Y NATANIEL AGUIRRE;Bicentenario;10;http://www.impuestos.gob.bo/;https://www.facebook.com/sinbolivia?fref=ts
SOYAVIT;C. COROICO 1442 (3ER PISO SOBRE ACADEMIA TENIENTE);Integracion;33;NO TIENE;https://www.facebook.com/pages/Soyavit/1532817343603783?fref=ts
EQUIMPORT;CALAMA 0340;Bicentenario;8, 9;http://www.equimport.com/;https://www.facebook.com/Equimportscz?fref=ts
EQUIMPORT;CALAMA 0340;Bolivia;12, 13, 14, 15, 16, 17, 23, 24, 25, 26, 27, 28;http://www.equimport.com/;https://www.facebook.com/Equimportscz?fref=ts
RIO SELVA RESORT S.A.;C. ROMECIN CAMPOS 696 ZONA SOPOCACHI;Bolivia;85, 86, 87;http://www.rioselva.com.bo/contacto.html;https://www.facebook.com/HotelesRioSelvaResort?fref=ts
CLINICA ODONTOLOGICA TELLO;C. BUENOS AIRES ENTRE PANDO Y MELCHOR URQUIDI;Internacional;10;http://es.boliviayp.com/company/57964/TELLO_CLINICA_ODONTOLOGICA;https://www.facebook.com/pages/Clinica-Odontologica-Tello/327865304036596?fref=ts
INDUSTRIAS LIDER LTDA;Av. HUAYNA KAPAC 747;Bicentenario;66, 67;https://www.facebook.com/pages/Industrias-Lider-Ltda-Sucursal-Sc/182060158553517?sk=info&tab=page_info;https://www.facebook.com/pages/Industrias-Lider-Ltda-Sucursal-Sc/182060158553517?fref=ts
JAVIER TORRE ROBLES;HUANCAYO C. PRIMAVERA 140;Integracion;25;NO TIENE;NO TIENE 
JAVIER TORRE ROBLES;HUANCAYO C. PRIMAVERA 140;Internacional;16;NO TIENE;NO TIENE 
MODAS NAYRA;Ismael Cespedes esq. Chimane 1311;Internacional;91;NO TIENE;NO TIENE 
ASOCIACION DE PRODUCTORAS ULALA;LA JOYA ESQ. INCACHACA VILLA PAGADOR;Integracion;37;http://www.opinion.com.bo/opinion/revista_asi/2015/0201/suplementos.php?id=5383;NO TIENE 
COMEDICA BOLIVIA S.R.L.;C. PANTALEON DALENCE 1722;Bolivia;11;NO TIENE;NO TIENE 
GEDESA LTDA;C. ANTEZANA N°279;Internacional;103, 104, 105, 106, 114, 115, 116;NO TIENE;https://www.facebook.com/gedesa.ltda?fref=ts
GEDESA LTDA;C. ANTEZANA N°279;Internacional;35, 36, 37, 38;NO TIENE;https://www.facebook.com/gedesa.ltda?fref=ts
CORONILLA S.A.;Av. VILLAZON N° 3847 KM 3;Bolivia;8;http://www.coronilla.com/;https://www.facebook.com/CoronillaBolivia?fref=ts
REPRESENTACIONES R&R;C. BARTOLINA SISA N° 171;Integracion;14;NO TIENE;NO TIENE 
MAGIC GAMES;Zona Villa Copacabana C. 1 Nro 2234-B;Integracion;31;NO TIENE;https://www.facebook.com/MagicGamesBo?fref=ts
LABORATORIO ARTESANAL INALFA;Av. ANTOFAGASTA N° 50 ESQUINA C. 4 ZONA VILLA DOLORES;Integracion;12;http://boliviaya.com/empresa/00250374-laboratorio-artesanal-inalfa.html;NO TIENE 
ALGAR S.A.;Av. BLANCO GALINDO KM 1 1/2 Nº 1290 ZONA HIPODROMO ACERA NORTE;Bolivia;106, 107, 108;NO TIENE;NO TIENE 
STHEFF;PEDRO BLANCO 375, ZONA MAYORAZGO;Bolivia;61;NO TIENE;NO TIENE 
FABRICA NACIONAL DE CAJAS FUERTES CASE;;Bicentenario;37;http://www.casebolivia.com/;https://www.facebook.com/cajasfuertescase?fref=ts
DECO IDEAS;ECUADOR Nº 559 ENTRE LANZA Y SAN MARTIN;Bicentenario;4;NO TIENE;https://www.facebook.com/decoideasinfo?fref=ts
PRODUCTOS NATURALES VICTORIA;ZONA CHIMBA C. LOS ARCES;Integracion;17;NO TIENE;NO TIENE 
ADUANA NACIONAL DE BOLIVIA;Av. Capitan Ustariz km7 1/2;Bicentenario;21, 22;http://www.aduana.gob.bo/aduana7/;https://www.facebook.com/AduanaNacionalDeBolivia?fref=ts
IGBOL DISTRIBUCIONES SRL;DOBLE VIA LA GUARDIA KM 8 1/2 Av. APOLO;Internacional;11, 12;http://imbolivia.com/e/igbol-distribuciones-s-r-l;NO TIENE 
MMB CYLINDERS SRL;Av. VILLAZON KM 5 ? - PSJE. INNOMINADA S/N ZONA AMANCAYAS;Bicentenario;86;NO TIENE;NO TIENE 
SHANS - EL OJO TURCO;C. REPUBLICA DOMINICANA Nº 1906 ZONA MIRAFLORES LA PAZ;Internacional;15;NO TIENE;NO TIENE 
